hidden_dim,batch_size,learning_rate,Test_MSE
50.0,32.0,0.001,0.0038997086230665445
50.0,32.0,0.005,0.14469918608665466
50.0,32.0,0.01,0.14461013674736023
50.0,64.0,0.001,0.0036660470068454742
50.0,64.0,0.005,0.1446657031774521
50.0,64.0,0.01,0.1447545439004898
50.0,128.0,0.001,0.008009256795048714
50.0,128.0,0.005,0.1447007805109024
50.0,128.0,0.01,0.14474399387836456
101.0,32.0,0.001,0.002962616505101323
101.0,32.0,0.005,0.14470867812633514
101.0,32.0,0.01,0.14463582634925842
101.0,64.0,0.001,0.0025368917267769575
101.0,64.0,0.005,0.14462152123451233
101.0,64.0,0.01,0.14473992586135864
101.0,128.0,0.001,0.0030336615163832903
101.0,128.0,0.005,0.14473864436149597
101.0,128.0,0.01,0.14471851289272308
200.0,32.0,0.001,0.0021377322264015675
200.0,32.0,0.005,0.14464633166790009
200.0,32.0,0.01,0.14459848403930664
200.0,64.0,0.001,0.002440688433125615
200.0,64.0,0.005,0.14458461105823517
200.0,64.0,0.01,0.14467716217041016
200.0,128.0,0.001,0.002678319811820984
200.0,128.0,0.005,0.14472326636314392
200.0,128.0,0.01,0.14459745585918427
